,word,positive,negative
1151,anything,1,0
1152,19,2,0
1153,fuji,1,0
1154,mount,1,0
1155,@manishp24604101,1,0
1156,smile,1,0
1157,2019,1,0
1158,rezon,1,0
1159,officially,1,0
1160,urban,1,0
1161,@srirachastay:,1,0
1162,inspired,1,0
1163,baby,2,0
1164,sunshine,1,0
1165,excuse,1,0
1166,@aoc,1,0
1167,co/klkihdgywb,1,0
1168,co/buftfzy8br,1,0
1169,@felinechairthi1,1,0
1170,busch,1,0
1171,ladies,1,0
1172,@kevinz_thd,1,0
1173,can't,0,0
1174,wholesome,1,0
1175,@nicholls_cheer:,1,0
1176,artist:,1,0
1177,@ninjaeee,1,0
1178,newcomers,1,0
1179,@bovb51:,1,0
1180,blossoms,1,0
1181,kristen,1,0
1182,ends,1,0
1183,swimsuit,1,0
1184,yall,1,0
1185,bl,1,0
1186,marriage,1,0
1187,@litebrite123,1,0
1188,greetings,1,0
1189,b,1,0
1190,sponsored,1,0
1191,japan,1,0
1192,quicker,1,0
1193,@yelarvel,1,0
1194,loves,2,0
1195,geauxcolonels,1,0
1196,plans,1,0
1197,@lidstonepeter,1,0
1198,@quinnqueens,1,0
1199,best,1,0
1200,wishing,1,0
1201,said,1,0
1202,gorgeous,1,0
1203,faceofpace,1,0
1204,grateful,1,0
1205,deserve,1,0
1206,summer,1,0
1207,stadium,1,0
1208,hydrated,1,0
1209,excited,1,0
1210,text,2,0
1211,stable,1,0
1212,@ginamorris508,1,0
1213,taxes,1,0
1214,@quinnqueens_2,1,0
1215,akira,1,0
1216,not-a-teen,1,0
1217,@whca,1,0
1218,zak,1,0
1219,@_hublette:,1,0
1220,@thd_young,1,0
1221,any,1,0
1222,bell,1,0
1223,fuckthem,1,0
1224,travel,2,0
1225,honey,1,0
1226,trees,2,0
1227,pass,1,0
1228,@samanthaasm2307,1,0
1229,couldnt,1,0
1230,@kreespykim,1,0
1231,guys,1,0
1232,stuck,1,0
1233,goes,1,0
1234,@hwaseongl:,1,0
1235,@msgladysknight:,2,0
1236,co/6im3o9zp02,1,0
1237,@stevebanglesfan,1,0
1238,@eemrichmond,1,0
1239,picked,1,0
1240,vocal,1,0
1241,@oliviaandocean,1,0
1242,@allypallyfm:,1,0
1243,bean,1,0
1244,hahahhaa,1,0
1245,@susannahoffs,1,0
1246,co/kwmgp4qfbw,1,0
1247,dumb,1,0
1248,crackdown,1,0
1249,furniture,1,0
1250,daughter,1,0
1251,fucking,1,0
1252,@mjawandz11,1,0
1253,vibe,1,0
1254,ian,1,0
1255,toriyama,1,0
1256,@thshaher,1,0
1257,miss,1,0
1258,@xboxgamepass,1,0
1259,@dr_ringer,1,0
1260,@ericjosephgree2,1,0
1261,flair,1,0
1262,@aliciagarciaga6,1,0
1263,intro,1,0
1264,bit,1,0
1265,sweldo,1,0
1266,lil,1,0
1267,experienced,1,0
1268,ghosts,1,0
1269,bliss,1,0
1270,cooky,1,0
1271,outdoor,1,0
1272,reminder,1,0
1273,felinechairthieffriyay,1,0
1274,collective,1,0
1275,literally,1,0
1276,moonboss,1,0
1277,todays,1,0
1278,hasnain,1,0
1279,@freewill121,1,0
1280,work,4,0
1281,thanks,4,0
1282,thank,3,0
1283,might,2,0
1284,until,3,0
1285,baseball,1,0
1286,our,3,0
1287,keep,2,0
1288,good,3,0
1289,class,3,0
1290,games,1,0
1291,@_violin_tim:,2,0
1292,:(((,1,0
1293,kim,1,0
1294,yunmin,1,0
1295,@brunomars,2,0
1296,view,1,0
1297,please,2,0
1298,everyone,2,0
1299,@violin_tim,2,0
1300,avoid,2,0
1301,check,2,0
1302,second,2,0
1303,saturday,2,0
1304,draw,2,0
1305,making,2,0
1306,dress,2,0
1307,link,2,0
1308,cool,2,0
1309,insta,2,0
1310,year,2,0
1311,h,2,0
1312,@iamcardib,2,0
1313,cant,2,0
1314,join,2,0
1315,delicious,2,0
1316,bullshit,1,0
1317,mv,1,0
1318,photography,1,0
1319,along,1,0
1320,awesome,1,0
1321,key,1,0
